Pixels, Value
33,2, 0
33,3, 0
33,4, 0
33,5, 0
33,6, 0
33,7, 0
33,8, 0
33,9, 0
34, 0
34,1, 0
34,2, 0
34,3, 0
34,4, 0
34,5, 0
34,6, 0
34,7, 0
34,8, 0
34,9, 0
35, 0
35,1, 0
35,2, 0
35,3, 0
35,4, 0
35,5, 0
35,6, 0,0181748502437885
35,7, 0,0181748502437885
35,8, 0,0181748502437885
35,9, 0,0181748502437885
36, 0,0181748502437885
36,1, 0,0181748502437885
36,2, 0,0181748502437885
36,3, 0,0181748502437885
36,4, 0,0181748502437885
36,5, 0,0181748502437885
36,6, 0,156495026309674
36,7, 0,156495026309674
36,8, 0,156495026309674
36,9, 0,156495026309674
37, 0,156495026309674
37,1, 0,156495026309674
37,2, 0,156495026309674
37,3, 0,156495026309674
37,4, 0,156495026309674
37,5, 0,156495026309674
37,6, 0
37,7, 0
37,8, 0
37,9, 0
38, 0
38,1, 0
38,2, 0
38,3, 0
38,4, 0
38,5, 0
38,6, 0
38,7, 0
38,8, 0
38,9, 0
39, 0
39,1, 0
39,2, 0
39,3, 0
39,4, 0
39,5, 0
39,6, 0
39,7, 0
39,8, 0
39,9, 0
40, 0
40,1, 0
40,2, 0
40,3, 0
40,4, 0
40,5, 0
40,6, 0
40,7, 0
40,8, 0
40,9, 0
41, 0
41,1, 0
41,2, 0
41,3, 0
41,4, 0
41,5, 0
41,6, 0
41,7, 0
41,8, 0
41,9, 0
42, 0
42,1, 0
42,2, 0
42,3, 0
42,4, 0
42,5, 0
42,6, 0
42,7, 0
42,8, 0
42,9, 0
43, 0
43,1, 0
43,2, 0
43,3, 0
43,4, 0
43,5, 0
43,6, 0
43,7, 0
43,8, 0
43,9, 0
44, 0
44,1, 0
44,2, 0
44,3, 0
44,4, 0
44,5, 0
44,6, 0
44,7, 0
44,8, 0
44,9, 0
45, 0
45,1, 0
45,2, 0
45,3, 0
45,4, 0
45,5, 0
45,6, 0,165486794325022
45,7, 0,165486794325022
45,8, 0,165486794325022
45,9, 0,165486794325022
46, 0,165486794325022
46,1, 0,165486794325022
46,2, 0,165486794325022
46,3, 0,165486794325022
46,4, 0,165486794325022
46,5, 0,165486794325022
46,6, 1,2950059084232
46,7, 1,2950059084232
46,8, 1,2950059084232
46,9, 1,2950059084232
47, 1,2950059084232
47,1, 1,2950059084232
47,2, 1,2950059084232
47,3, 1,2950059084232
47,4, 1,2950059084232
47,5, 1,2950059084232
47,6, 1,55911517959741
47,7, 1,55911517959741
47,8, 1,55911517959741
47,9, 1,55911517959741
48, 1,55911517959741
48,1, 1,55911517959741
48,2, 1,55911517959741
48,3, 1,55911517959741
48,4, 1,55911517959741
48,5, 1,55911517959741
48,6, 0,83250379827206
48,7, 0,83250379827206
48,8, 0,83250379827206
48,9, 0,83250379827206
49, 0,83250379827206
49,1, 0,83250379827206
49,2, 0,83250379827206
49,3, 0,83250379827206
49,4, 0,83250379827206
49,5, 0,83250379827206
49,6, 0
49,7, 0
49,8, 0
49,9, 0
50, 0
50,1, 0
50,2, 0
50,3, 0
50,4, 0
50,5, 0
50,6, 0
50,7, 0
50,8, 0
50,9, 0
51, 0
51,1, 0
51,2, 0
51,3, 0
51,4, 0
51,5, 0
51,6, 0
51,7, 0
51,8, 0
51,9, 0
52, 0
52,1, 0
52,2, 0
52,3, 0
52,4, 0
52,5, 0
52,6, 1,23196787520922
52,7, 1,23196787520922
52,8, 1,23196787520922
52,9, 1,23196787520922
53, 1,23196787520922
53,1, 1,23196787520922
53,2, 1,23196787520922
53,3, 1,23196787520922
53,4, 1,23196787520922
53,5, 1,23196787520922
53,6, 2,25674245763925
53,7, 2,25674245763925
53,8, 2,25674245763925
53,9, 2,25674245763925
54, 2,25674245763925
54,1, 2,25674245763925
54,2, 2,25674245763925
54,3, 2,25674245763925
54,4, 2,25674245763925
54,5, 2,25674245763925
54,6, 1,43074334261234
54,7, 1,43074334261234
54,8, 1,43074334261234
54,9, 1,43074334261234
55, 1,43074334261234
55,1, 1,43074334261234
55,2, 1,43074334261234
55,3, 1,43074334261234
55,4, 1,43074334261234
55,5, 1,43074334261234
55,6, 0
55,7, 0
55,8, 0
55,9, 0
56, 0
56,1, 0
56,2, 0
56,3, 0
56,4, 0
56,5, 0
56,6, 0
56,7, 0
56,8, 0
56,9, 0
57, 0
57,1, 0
57,2, 0
57,3, 0
57,4, 0
57,5, 0
57,6, 0
57,7, 0
57,8, 0
57,9, 0
58, 0
58,1, 0
58,2, 0
58,3, 0
58,4, 0
58,5, 0
58,6, 2,0283132872068
58,7, 2,0283132872068
58,8, 2,0283132872068
58,9, 2,0283132872068
59, 2,0283132872068
59,1, 2,0283132872068
59,2, 2,0283132872068
59,3, 2,0283132872068
59,4, 2,0283132872068
59,5, 2,0283132872068
59,6, 2,42835130678324
59,7, 2,42835130678324
59,8, 2,42835130678324
59,9, 2,42835130678324
60, 2,42835130678324
60,1, 2,42835130678324
60,2, 2,42835130678324
60,3, 2,42835130678324
60,4, 2,42835130678324
60,5, 2,42835130678324
60,6, 1,30878053176586
60,7, 1,30878053176586
60,8, 1,30878053176586
60,9, 1,30878053176586
61, 1,30878053176586
61,1, 1,30878053176586
61,2, 1,30878053176586
61,3, 1,30878053176586
61,4, 1,30878053176586
61,5, 1,30878053176586
61,6, 0
61,7, 0
61,8, 0
61,9, 0
62, 0
62,1, 0
62,2, 0
62,3, 0
62,4, 0
62,5, 0
62,6, 0
62,7, 0
62,8, 0
62,9, 0
63, 0
63,1, 0
63,2, 0
63,3, 0
63,4, 0
63,5, 0
63,6, 0
63,7, 0
63,8, 0
63,9, 0
64, 0
64,1, 0
64,2, 0
64,3, 0
64,4, 0
64,5, 0
64,6, 0
64,7, 0
64,8, 0
64,9, 0
65, 0
65,1, 0
65,2, 0
65,3, 0
65,4, 0
65,5, 0
65,6, 0
65,7, 0
65,8, 0
65,9, 0
66, 0
66,1, 0
66,2, 0
66,3, 0
66,4, 0
66,5, 0
66,6, 0
66,7, 0
66,8, 0
66,9, 0
67, 0
67,1, 0
67,2, 0
67,3, 0
67,4, 0
67,5, 0
67,6, 0
67,7, 0
67,8, 0
67,9, 0
68, 0
68,1, 0
68,2, 0
68,3, 0
68,4, 0
68,5, 0
