Pixels, Value
31,3, 1,05442641538106
31,4, 1,05442641538106
31,5, 1,05442641538106
31,6, 1,05442641538106
31,7, 0
31,8, 0
31,9, 0
32, 0
32,1, 0
32,2, 0
32,3, 0
32,4, 0
32,5, 0
32,6, 0
32,7, 0
32,8, 0
32,9, 0
33, 0
33,1, 0
33,2, 0
33,3, 0
33,4, 0
33,5, 0
33,6, 0
33,7, 0
33,8, 0
33,9, 0
34, 0
34,1, 0
34,2, 0
34,3, 0
34,4, 0
34,5, 0
34,6, 0
34,7, 0
34,8, 0
34,9, 0
35, 0
35,1, 0
35,2, 0
35,3, 0
35,4, 0
35,5, 0
35,6, 0
35,7, 0
35,8, 0
35,9, 0
36, 0
36,1, 0
36,2, 0
36,3, 0
36,4, 0
36,5, 0
36,6, 0
36,7, 0
36,8, 0
36,9, 0
37, 0
37,1, 0
37,2, 0
37,3, 0
37,4, 0
37,5, 0
37,6, 0
37,7, 0
37,8, 0
37,9, 0
38, 0
38,1, 0
38,2, 0
38,3, 0
38,4, 0
38,5, 0
38,6, 0
38,7, 0
38,8, 0
38,9, 0
39, 0
39,1, 0
39,2, 0
39,3, 0
39,4, 0
39,5, 0
39,6, 0
39,7, 0
39,8, 0
39,9, 0
40, 0
40,1, 0
40,2, 0
40,3, 0
40,4, 0
40,5, 0
40,6, 0
40,7, 0,361102456338589
40,8, 0,361102456338589
40,9, 0,361102456338589
41, 0,361102456338589
41,1, 0,361102456338589
41,2, 0,361102456338589
41,3, 0,361102456338589
41,4, 0,361102456338589
41,5, 0,361102456338589
41,6, 0,361102456338589
41,7, 0,361102456338589
41,8, 1,03251672641681
41,9, 1,03251672641681
42, 1,03251672641681
42,1, 1,03251672641681
42,2, 1,03251672641681
42,3, 1,03251672641681
42,4, 1,03251672641681
42,5, 1,03251672641681
42,6, 1,03251672641681
42,7, 1,03251672641681
42,8, 1,18683517616712
42,9, 1,18683517616712
43, 1,18683517616712
43,1, 1,18683517616712
43,2, 1,18683517616712
43,3, 1,18683517616712
43,4, 1,18683517616712
43,5, 1,18683517616712
43,6, 1,18683517616712
43,7, 1,18683517616712
43,8, 1,31109570552019
43,9, 1,31109570552019
44, 1,31109570552019
44,1, 1,31109570552019
44,2, 1,31109570552019
44,3, 1,31109570552019
44,4, 1,31109570552019
44,5, 1,31109570552019
44,6, 1,31109570552019
44,7, 1,31109570552019
44,8, 1,22907017576144
44,9, 1,22907017576144
45, 1,22907017576144
45,1, 1,22907017576144
45,2, 1,22907017576144
45,3, 1,22907017576144
45,4, 1,22907017576144
45,5, 1,22907017576144
45,6, 1,22907017576144
45,7, 1,22907017576144
45,8, 0,635969463344721
45,9, 0,635969463344721
46, 0,635969463344721
46,1, 0,635969463344721
46,2, 0,635969463344721
46,3, 0,635969463344721
46,4, 0,635969463344721
46,5, 0,635969463344721
46,6, 0,635969463344721
46,7, 0,635969463344721
46,8, 0,0645068321778224
46,9, 0,0645068321778224
47, 0,0645068321778224
47,1, 0,0645068321778224
47,2, 0,0645068321778224
47,3, 0,0645068321778224
47,4, 0,0645068321778224
47,5, 0,0645068321778224
47,6, 0,0645068321778224
47,7, 0,0645068321778224
47,8, 0
47,9, 0
48, 0
48,1, 0
48,2, 0
48,3, 0
48,4, 0
48,5, 0
48,6, 0
48,7, 0
48,8, 0
48,9, 0
49, 0
49,1, 0
49,2, 0
49,3, 0
49,4, 0
49,5, 0
49,6, 0
49,7, 0
49,8, 0
49,9, 0
50, 0
50,1, 0
50,2, 0
50,3, 0
50,4, 0
50,5, 0
50,6, 0
50,7, 0
50,8, 0
50,9, 0
51, 0
51,1, 0
51,2, 0
51,3, 0
51,4, 0
51,5, 0
51,6, 0
51,7, 0
51,8, 0
51,9, 0
52, 0
52,1, 0
52,2, 0
52,3, 0
52,4, 0
52,5, 0
52,6, 0
52,7, 0
52,8, 0
52,9, 0
53, 0
53,1, 0
53,2, 0
53,3, 0
53,4, 0
53,5, 0
53,6, 0
53,7, 0
53,8, 0
53,9, 0
54, 0
54,1, 0
54,2, 0
54,3, 0
54,4, 0
54,5, 0
54,6, 0
54,7, 0
54,8, 0
54,9, 0
55, 0
55,1, 0
55,2, 0
55,3, 0
55,4, 0
55,5, 0
55,6, 0
55,7, 0
55,8, 0,295328121493413
55,9, 0,265043861334141
56, 0,265043861334141
56,1, 0,265043861334141
56,2, 0,265043861334141
56,3, 0,265043861334141
56,4, 0,265043861334141
56,5, 0,265043861334141
56,6, 0,265043861334141
56,7, 0,265043861334141
56,8, 0,761859638984387
56,9, 0,761859638984387
57, 0,761859638984387
57,1, 0,761859638984387
57,2, 0,761859638984387
57,3, 0,761859638984387
57,4, 0,761859638984387
57,5, 0,761859638984387
57,6, 0,761859638984387
57,7, 0,761859638984387
57,8, 0,988199401011834
57,9, 0,988199401011834
58, 0,988199401011834
58,1, 0,988199401011834
58,2, 0,988199401011834
58,3, 0,988199401011834
58,4, 0,988199401011834
58,5, 0,988199401011834
58,6, 0,988199401011834
58,7, 0,988199401011834
58,8, 1,01047123359533
58,9, 1,01047123359533
59, 1,01047123359533
59,1, 1,01047123359533
59,2, 1,01047123359533
59,3, 1,01047123359533
59,4, 1,01047123359533
59,5, 1,01047123359533
59,6, 1,01047123359533
59,7, 1,01047123359533
59,8, 0,656928525308462
59,9, 0,656928525308462
60, 0,656928525308462
60,1, 0,656928525308462
60,2, 0,656928525308462
60,3, 0,656928525308462
60,4, 0,656928525308462
60,5, 0,656928525308462
60,6, 0,656928525308462
60,7, 0,656928525308462
60,8, 0,0191936118199275
60,9, 0,0191936118199275
61, 0,0191936118199275
61,1, 0,0191936118199275
61,2, 0,0191936118199275
61,3, 0,0191936118199275
61,4, 0,0191936118199275
61,5, 0,0191936118199275
61,6, 0,0191936118199275
61,7, 0,0191936118199275
61,8, 0,0191936118199275
61,9, 0
62, 0
62,1, 0
62,2, 0
62,3, 0
62,4, 0
62,5, 0
62,6, 0
62,7, 0
62,8, 0
62,9, 0
63, 0
63,1, 0
63,2, 0
63,3, 0
63,4, 0
63,5, 0
63,6, 0
63,7, 0
63,8, 0
63,9, 0
64, 0
64,1, 0
64,2, 0
64,3, 0
64,4, 0
64,5, 0
64,6, 0
64,7, 0
64,8, 0
64,9, 0
65, 0
65,1, 0
65,2, 0
65,3, 0
65,4, 0
65,5, 0
65,6, 0
65,7, 0
65,8, 0
65,9, 0
66, 0
66,1, 0
66,2, 0
66,3, 0
66,4, 0
66,5, 0
66,6, 0
66,7, 0
66,8, 0
66,9, 0
67, 0
67,1, 0
67,2, 0
67,3, 0
67,4, 0
67,5, 0
67,6, 0
67,7, 0
67,8, 0
67,9, 0
68, 0
68,1, 0
68,2, 0
68,3, 0
68,4, 0
68,5, 0
68,6, 0
68,7, 0
68,8, 0
68,9, 0
69, 0
69,1, 0
69,2, 0
69,3, 0
69,4, 0
69,5, 0
69,6, 0
69,7, 0
69,8, 0
69,9, 0,397497890072603
70, 0,397497890072603
70,1, 0,397497890072603
70,2, 0,397497890072603
70,3, 0,397497890072603
70,4, 0,397497890072603
70,5, 0,397497890072603
70,6, 0,397497890072603
70,7, 0,397497890072603
70,8, 0,397497890072603
70,9, 1,02205982941114
71, 1,02205982941114
71,1, 1,02205982941114
71,2, 1,02205982941114
71,3, 1,02205982941114
71,4, 1,02205982941114
71,5, 1,02205982941114
71,6, 1,02205982941114
71,7, 1,02205982941114
71,8, 1,02205982941114
71,9, 1,11648877812899
72, 1,11648877812899
72,1, 1,11648877812899
72,2, 1,11648877812899
72,3, 1,11648877812899
72,4, 1,11648877812899
72,5, 1,11648877812899
72,6, 1,11648877812899
72,7, 1,11648877812899
72,8, 1,11648877812899
72,9, 0,505824100178939
73, 0,505824100178939
73,1, 0,505824100178939
73,2, 0,505824100178939
73,3, 0,505824100178939
73,4, 0,505824100178939
73,5, 0,505824100178939
73,6, 0,505824100178939
73,7, 0,505824100178939
73,8, 0,505824100178939
73,9, 0
74, 0
74,1, 0
74,2, 0
74,3, 0
74,4, 0
74,5, 0
74,6, 0
74,7, 0
74,8, 0
74,9, 0
75, 0
75,1, 0
75,2, 0
75,3, 0
75,4, 0
75,5, 0
75,6, 0
75,7, 0
75,8, 0
75,9, 0
76, 0
76,1, 0
76,2, 0
76,3, 0
76,4, 0
76,5, 0
76,6, 0
76,7, 0
76,8, 0
76,9, 0
77, 0
77,1, 0
77,2, 0
77,3, 0
77,4, 0
77,5, 0
77,6, 0
77,7, 0
77,8, 0
77,9, 0
78, 0
78,1, 0
78,2, 0
78,3, 0
78,4, 0
78,5, 0
78,6, 0
78,7, 0
78,8, 0
78,9, 0
79, 0
79,1, 0
79,2, 0
79,3, 0
79,4, 0
79,5, 0
79,6, 0
79,7, 0
79,8, 0
79,9, 0
80, 0
80,1, 0
80,2, 0
80,3, 0
80,4, 0
80,5, 0
80,6, 0
80,7, 0
80,8, 0
80,9, 0
81, 0
81,1, 0
81,2, 0
81,3, 0
81,4, 0
81,5, 0
81,6, 0
81,7, 0
81,8, 0
81,9, 0,163236236374195
82, 0,163236236374195
82,1, 0,163236236374195
82,2, 0,163236236374195
82,3, 0,163236236374195
82,4, 0,163236236374195
82,5, 0,163236236374195
82,6, 0,163236236374195
82,7, 0,163236236374195
82,8, 0,163236236374195
82,9, 0,163236236374195
83, 0,575446210978581
83,1, 0,575446210978581
83,2, 0,575446210978581
83,3, 0,575446210978581
83,4, 0,575446210978581
83,5, 0,575446210978581
83,6, 0,575446210978581
83,7, 0,575446210978581
83,8, 0,575446210978581
83,9, 0,575446210978581
84, 0,488033794883581
84,1, 0,488033794883581
84,2, 0,488033794883581
84,3, 0,488033794883581
84,4, 0,488033794883581
84,5, 0,488033794883581
84,6, 0,488033794883581
84,7, 0,488033794883581
84,8, 0,488033794883581
84,9, 0,488033794883581
85, 0,0243541583941533
85,1, 0,0243541583941533
85,2, 0,0243541583941533
85,3, 0,0243541583941533
85,4, 0,0243541583941533
85,5, 0,0243541583941533
85,6, 0,0243541583941533
85,7, 0,0243541583941533
85,8, 0,0243541583941533
85,9, 0,0243541583941533
86, 0
86,1, 0
86,2, 0
86,3, 0
86,4, 0
86,5, 0
86,6, 0
86,7, 0
86,8, 0
86,9, 0
87, 0
87,1, 0
87,2, 0
87,3, 0
87,4, 0
87,5, 0
87,6, 0
87,7, 0
87,8, 0
87,9, 0
88, 0
88,1, 0
88,2, 0
88,3, 0
88,4, 0
88,5, 0
88,6, 0
88,7, 0
88,8, 0
88,9, 0
89, 0
89,1, 0
89,2, 0
89,3, 0
89,4, 0
89,5, 0
89,6, 0
89,7, 0
89,8, 0
89,9, 0
90, 0
90,1, 0
90,2, 0
90,3, 0
90,4, 0
90,5, 0
90,6, 0
90,7, 0
90,8, 0
90,9, 0
91, 0
91,1, 0
91,2, 0
91,3, 0
91,4, 0
