Pixels, Value
34,6, 0
34,7, 0
34,8, 0
34,9, 0
35, 0
35,1, 0
35,2, 0
35,3, 0
35,4, 0
35,5, 0
35,6, 0
35,7, 0
35,8, 0
35,9, 0
36, 0
36,1, 0
36,2, 0
36,3, 0
36,4, 0
36,5, 0
36,6, 0
36,7, 0
36,8, 0
36,9, 0
37, 0
37,1, 0
37,2, 0
37,3, 0
37,4, 0
37,5, 0
37,6, 0
37,7, 0
37,8, 0
37,9, 0
38, 0
38,1, 0
38,2, 0
38,3, 0
38,4, 0
38,5, 0
38,6, 0
38,7, 0
38,8, 0
38,9, 0
39, 0
39,1, 0
39,2, 0
39,3, 0
39,4, 0
39,5, 0
39,6, 0
39,7, 0
39,8, 0
39,9, 0
40, 0
40,1, 0
40,2, 0
40,3, 0
40,4, 0
40,5, 0
40,6, 0
40,7, 0
40,8, 0
40,9, 0
41, 0
41,1, 0
41,2, 0
41,3, 0
41,4, 0
41,5, 0
41,6, 0
41,7, 0
41,8, 0
41,9, 0
42, 0
42,1, 0
42,2, 0
42,3, 0
42,4, 0
42,5, 0
42,6, 0
42,7, 0
42,8, 0
42,9, 0
43, 0
43,1, 0
43,2, 0
43,3, 0
43,4, 0
43,5, 0
43,6, 0
43,7, 0
43,8, 0
43,9, 0,50179398696606
44, 0,50179398696606
44,1, 0,50179398696606
44,2, 0,50179398696606
44,3, 0,50179398696606
44,4, 0,50179398696606
44,5, 0,50179398696606
44,6, 0,50179398696606
44,7, 0,50179398696606
44,8, 0,50179398696606
44,9, 2,4363230945954
45, 2,4363230945954
45,1, 2,4363230945954
45,2, 3,96634318778698
45,3, 3,96634318778698
45,4, 3,96634318778698
45,5, 3,96634318778698
45,6, 3,96634318778698
45,7, 3,96634318778698
45,8, 3,96634318778698
45,9, 3,96634318778698
46, 3,04665161931698
46,1, 3,04665161931698
46,2, 3,04665161931698
46,3, 3,04665161931698
46,4, 3,04665161931698
46,5, 3,04665161931698
46,6, 3,04665161931698
46,7, 3,04665161931698
46,8, 3,04665161931698
46,9, 3,04665161931698
47, 0,116060655337114
47,1, 0,116060655337114
47,2, 0,116060655337114
47,3, 0,116060655337114
47,4, 0,116060655337114
47,5, 0,116060655337114
47,6, 0,116060655337114
47,7, 0,116060655337114
47,8, 0,116060655337114
47,9, 0,116060655337114
48, 0,116060655337114
48,1, 0
48,2, 0
48,3, 0
48,4, 0
48,5, 0
48,6, 0
48,7, 0
48,8, 0
48,9, 0
49, 0
49,1, 0
49,2, 0
49,3, 0
49,4, 0
49,5, 0
49,6, 0
49,7, 0
49,8, 0
49,9, 0
50, 0
50,1, 0
50,2, 0,666259461696331
50,3, 0,666259461696331
50,4, 0,666259461696331
50,5, 0,666259461696331
50,6, 0,666259461696331
50,7, 0,666259461696331
50,8, 0,666259461696331
50,9, 0,666259461696331
51, 0,666259461696331
51,1, 0,666259461696331
51,2, 0,666259461696331
51,3, 2,95198098236964
51,4, 4,0980106343196
51,5, 4,0980106343196
