Pixels, Value
0, 0,00952961484691212
0,1, 0,00952961484691212
0,2, 0,00952961484691212
0,3, 0,00864724310182767
0,4, 0,00864724310182767
0,5, 0,00864724310182767
0,6, 0,00864724310182767
0,7, 0,00864724310182767
0,8, 0,000813742831577887
0,9, 0,000813742831577887
1, 0,000813742831577887
1,1, 0,000813742831577887
1,2, 0,000813742831577887
1,3, 0,000813742831577887
1,4, 0,000813742831577887
1,5, 0,000813742831577887
1,6, 0,0139022570503306
1,7, 0,0139022570503306
1,8, 0,0139022570503306
1,9, 0,0139022570503306
2, 0,0139022570503306
2,1, 0,0139022570503306
2,2, 0,0139022570503306
2,3, 0,0139022570503306
2,4, 0
2,5, 0
2,6, 0
2,7, 0
2,8, 0
2,9, 0
3, 0
3,1, 0
3,2, 0
3,3, 0
3,4, 0
3,5, 0
3,6, 0
3,7, 0
3,8, 0
3,9, 0
4, 0
4,1, 0
4,2, 0
4,3, 0
4,4, 0
4,5, 0
4,6, 0
4,7, 0
4,8, 0
4,9, 0
5, 0
5,1, 0
5,2, 0
5,3, 0
5,4, 0,00284319784527213
5,5, 0,00284319784527213
5,6, 0
5,7, 0
5,8, 0
5,9, 0
6, 0
6,1, 0
6,2, 0
6,3, 0
6,4, 0
6,5, 0
6,6, 0
6,7, 0
6,8, 0
6,9, 0
7, 0
7,1, 0
7,2, 0
7,3, 0
7,4, 0
7,5, 0
7,6, 0
7,7, 0
7,8, 0
7,9, 0
8, 0
8,1, 0
8,2, 0,00147061957514076
8,3, 0,00147061957514076
8,4, 0,00147061957514076
8,5, 0,00324516719581061
8,6, 0,00324516719581061
8,7, 0,00324516719581061
8,8, 0,00324516719581061
8,9, 0,00324516719581061
9, 0,00324516719581061
9,1, 0,00324516719581061
9,2, 0,00324516719581061
9,3, 0,00324516719581061
9,4, 0,00324516719581061
9,5, 0,0171572283766422
9,6, 0,0171572283766422
9,7, 0,0171572283766422
9,8, 0,0171572283766422
9,9, 0,0171572283766422
10, 0,0148532577089217
10,1, 0,0148532577089217
10,2, 0,0148532577089217
10,3, 0,0148532577089217
10,4, 0,0148532577089217
10,5, 0,0148532577089217
10,6, 0,0148532577089217
10,7, 0,0148532577089217
10,8, 0,0148532577089217
10,9, 0,0169807540276253
11, 0,0169807540276253
11,1, 0,0169807540276253
11,2, 0,0169807540276253
11,3, 0,0169807540276253
11,4, 0,0169807540276253
11,5, 0,00825507788179013
11,6, 0,00825507788179013
11,7, 0,00825507788179013
11,8, 0,00825507788179013
11,9, 0,00825507788179013
12, 0,00825507788179013
12,1, 0,00825507788179013
12,2, 0,0127845861732237
12,3, 0,0127845861732237
12,4, 0,0127845861732237
12,5, 0,0127845861732237
12,6, 0,0127845861732237
12,7, 0,0127845861732237
12,8, 0,0127845861732237
