Pixels, Value
0, 0,011708763268371
0,1, 0,011708763268371
0,2, 0,011708763268371
0,3, 0,011708763268371
0,4, 0,0115791459628171
0,5, 0,0115791459628171
0,6, 0,0115791459628171
0,7, 0,0115791459628171
0,8, 0,0115791459628171
0,9, 0,0115791459628171
1, 0,0115791459628171
1,1, 0,0115791459628171
1,2, 0,0115791459628171
1,3, 0,0115791459628171
1,4, 0,0123424478733013
1,5, 0,0123424478733013
1,6, 0,0123424478733013
1,7, 0,0123424478733013
1,8, 0,0123424478733013
1,9, 0,0123424478733013
2, 0,0123424478733013
2,1, 0,0123424478733013
2,2, 0,0123424478733013
2,3, 0,0123424478733013
2,4, 0,0125944815229895
2,5, 0,0125944815229895
2,6, 0,0125944815229895
2,7, 0,0125944815229895
2,8, 0,0125944815229895
2,9, 0,0125944815229895
3, 0,0125944815229895
3,1, 0,0125944815229895
3,2, 0,0125944815229895
3,3, 0,0125944815229895
3,4, 0,0125944815229895
3,5, 0,0129689315168119
3,6, 0,0129689315168119
3,7, 0,0129689315168119
3,8, 0,0129689315168119
3,9, 0,0129689315168119
4, 0,0129689315168119
4,1, 0,0129689315168119
4,2, 0,0129689315168119
4,3, 0,0129689315168119
4,4, 0,0129689315168119
4,5, 0,014545942067718
4,6, 0,014545942067718
4,7, 0,014545942067718
4,8, 0,014545942067718
4,9, 0,014545942067718
5, 0,014545942067718
5,1, 0,014545942067718
5,2, 0,0144163247621641
5,3, 0,0144163247621641
5,4, 0,0144163247621641
5,5, 0,0154676651294348
5,6, 0,0154676651294348
5,7, 0,0154676651294348
5,8, 0,0154676651294348
5,9, 0,0154676651294348
6, 0,0154676651294348
6,1, 0,0154676651294348
6,2, 0,0154676651294348
6,3, 0,0154676651294348
6,4, 0,0154676651294348
6,5, 0,0192769737204362
6,6, 0,0192769737204362
6,7, 0,0192769737204362
6,8, 0,0192769737204362
6,9, 0,0192769737204362
7, 0,0192769737204362
7,1, 0,0192769737204362
7,2, 0,0192769737204362
7,3, 0,0192769737204362
7,4, 0,0192769737204362
7,5, 0,0217685063716393
7,6, 0,0217685063716393
7,7, 0,0217685063716393
7,8, 0,0217685063716393
7,9, 0,0217685063716393
8, 0,0217685063716393
8,1, 0,0217685063716393
8,2, 0,0217685063716393
8,3, 0,0217685063716393
8,4, 0,0217685063716393
8,5, 0,0241664265243869
8,6, 0,0241664265243869
8,7, 0,0241664265243869
8,8, 0,0241664265243869
8,9, 0,0241664265243869
9, 0,0241664265243869
9,1, 0,0241664265243869
9,2, 0,0241664265243869
9,3, 0,0241664265243869
9,4, 0,0241664265243869
9,5, 0,0256858293839357
9,6, 0,0256858293839357
9,7, 0,0256858293839357
9,8, 0,0256858293839357
9,9, 0,0256858293839357
10, 0,0256858293839357
10,1, 0,0256858293839357
10,2, 0,0256858293839357
10,3, 0,0256858293839357
10,4, 0,0256858293839357
10,5, 0,0255418101555424
10,6, 0,0255418101555424
10,7, 0,0255418101555424
10,8, 0,0255418101555424
10,9, 0,0255418101555424
11, 0,0255418101555424
11,1, 0,0255418101555424
11,2, 0,0255418101555424
11,3, 0,0255418101555424
11,4, 0,0255418101555424
11,5, 0,0255994178468997
11,6, 0,0255994178468997
11,7, 0,0255994178468997
11,8, 0,0255994178468997
11,9, 0,0255994178468997
12, 0,0255994178468997
12,1, 0,0260962841848564
12,2, 0,0260962841848564
12,3, 0,0260962841848564
12,4, 0,0260962841848564
12,5, 0,0288614533700068
12,6, 0,0288614533700068
12,7, 0,0288614533700068
12,8, 0,0288614533700068
12,9, 0,0288614533700068
13, 0,0288614533700068
13,1, 0,0288614533700068
13,2, 0,0288614533700068
13,3, 0,0288614533700068
13,4, 0,0288614533700068
13,5, 0,0288614533700068
13,6, 0,0314682014039245
13,7, 0,0314682014039245
13,8, 0,0314682014039245
13,9, 0,0314682014039245
14, 0,0314682014039245
14,1, 0,0314682014039245
14,2, 0,0314682014039245
14,3, 0,0314682014039245
14,4, 0,0314682014039245
14,5, 0,0314682014039245
14,6, 0,0321450917773728
14,7, 0,0321450917773728
14,8, 0,0321450917773728
14,9, 0,0321450917773728
15, 0,0321450917773728
15,1, 0,0321450917773728
15,2, 0,0321450917773728
15,3, 0,0321450917773728
15,4, 0,0321450917773728
15,5, 0,0321450917773728
15,6, 0,0325411446554542
15,7, 0,0325411446554542
15,8, 0,0325411446554542
15,9, 0,0325411446554542
16, 0,0325411446554542
16,1, 0,0325411446554542
16,2, 0,0325411446554542
16,3, 0,0325411446554542
16,4, 0,0325411446554542
16,5, 0,0325411446554542
16,6, 0,0377906455303881
16,7, 0,0377906455303881
16,8, 0,0377906455303881
16,9, 0,0377906455303881
17, 0,0377906455303881
17,1, 0,0377906455303881
17,2, 0,0377906455303881
17,3, 0,0377906455303881
17,4, 0,0377906455303881
17,5, 0,0377906455303881
17,6, 0,0399077281877688
17,7, 0,0399077281877688
17,8, 0,0399077281877688
17,9, 0,0399077281877688
18, 0,0399077281877688
18,1, 0,0399077281877688
18,2, 0,0399077281877688
18,3, 0,0399077281877688
18,4, 0,0399077281877688
18,5, 0,0399077281877688
18,6, 0,0434145963991444
18,7, 0,0434145963991444
18,8, 0,0434145963991444
18,9, 0,0434145963991444
19, 0,0434145963991444
19,1, 0,0391948330072223
19,2, 0,0391948330072223
19,3, 0,0391948330072223
19,4, 0,0391948330072223
19,5, 0,0391948330072223
19,6, 0,0444083290750578
19,7, 0,0444083290750578
19,8, 0,0444083290750578
19,9, 0,0444083290750578
20, 0,0444083290750578
20,1, 0,0444083290750578
20,2, 0,0444083290750578
20,3, 0,0444083290750578
20,4, 0,0444083290750578
20,5, 0,0444083290750578
20,6, 0,0576076913572989
20,7, 0,0576076913572989
20,8, 0,0576076913572989
20,9, 0,0576076913572989
21, 0,0576076913572989
21,1, 0,0576076913572989
21,2, 0,0576076913572989
21,3, 0,0576076913572989
21,4, 0,0576076913572989
21,5, 0,0576076913572989
21,6, 0,0675954248463706
21,7, 0,0675954248463706
21,8, 0,0675954248463706
21,9, 0,0675954248463706
22, 0,0675954248463706
22,1, 0,0675954248463706
22,2, 0,0675954248463706
22,3, 0,0675954248463706
22,4, 0,0675954248463706
22,5, 0,0675954248463706
22,6, 0,0754516737552223
22,7, 0,0754516737552223
22,8, 0,0754516737552223
22,9, 0,0754516737552223
23, 0,0754516737552223
23,1, 0,0754516737552223
23,2, 0,0754516737552223
23,3, 0,0754516737552223
