Pixels, Value
0, 2880
40,9, 3008
41, 3008
41,1, 3008
41,2, 3008
41,3, 3008
41,4, 3008
41,5, 3008
41,6, 3008
41,7, 3008
41,8, 3008
41,9, 3008
42, 3008
42,1, 3008
42,2, 3008
42,3, 3008
42,4, 3008
42,5, 3008
42,6, 3008
42,7, 3008
42,8, 3008
42,9, 3008
43, 3008
43,1, 3008
43,2, 3008
43,3, 3008
43,4, 3008
43,5, 3008
43,6, 3008
43,7, 3008
43,8, 3008
43,9, 3200
44, 3200
44,1, 3200
44,2, 3200
44,3, 3200
44,4, 3200
44,5, 3200
44,6, 3200
44,7, 3200
44,8, 3200
44,9, 2944
45, 2944
45,1, 2944
45,2, 2944
45,3, 2944
45,4, 2944
45,5, 2944
45,6, 2944
45,7, 2944
45,8, 2944
45,9, 2880
46, 2880
46,1, 2880
46,2, 2880
46,3, 2880
46,4, 2880
46,5, 2880
46,6, 2880
46,7, 2880
46,8, 2880
46,9, 3008
47, 3008
47,1, 3008
47,2, 3008
47,3, 3008
47,4, 3008
47,5, 3008
47,6, 3008
47,7, 3008
47,8, 3008
47,9, 2880
48, 2880
48,1, 2880
48,2, 2880
48,3, 2880
48,4, 2880
48,5, 2880
48,6, 2880
48,7, 2880
48,8, 2880
48,9, 2944
49, 2944
49,1, 2944
49,2, 2944
49,3, 2944
49,4, 2944
49,5, 2944
49,6, 2944
49,7, 2944
49,8, 2944
49,9, 2752
50, 2752
50,1, 2752
50,2, 2752
50,3, 2752
50,4, 2752
50,5, 2752
50,6, 2752
50,7, 2752
50,8, 2752
50,9, 2944
51, 2944
51,1, 2944
51,2, 2944
51,3, 2944
51,4, 2944
51,5, 2944
51,6, 2944
51,7, 2944
51,8, 2944
51,9, 2944
52, 2944
52,1, 2944
52,2, 2944
52,3, 2944
52,4, 2944
52,5, 2944
52,6, 2944
52,7, 2944
52,8, 2944
52,9, 3136
53, 3136
53,1, 3136
53,2, 3136
53,3, 3136
53,4, 3136
53,5, 3136
53,6, 3136
53,7, 3136
53,8, 3136
53,9, 3072
54, 3072
54,1, 3072
54,2, 3072
54,3, 3072
54,4, 3072
54,5, 3072
54,6, 3072
54,7, 3072
54,8, 3072
54,9, 3008
55, 3008
55,1, 3008
55,2, 3008
55,3, 3008
55,4, 3008
55,5, 3008
55,6, 3008
55,7, 3008
55,8, 3008
55,9, 3072
56, 3072
56,1, 3072
56,2, 3072
56,3, 3072
56,4, 3072
56,5, 3072
56,6, 3072
56,7, 3072
56,8, 3072
56,9, 2944
57, 2944
57,1, 2944
57,2, 2944
57,3, 2944
57,4, 2944
57,5, 2944
57,6, 2944
57,7, 2944
57,8, 2944
57,9, 3008
58, 3008
58,1, 3008
58,2, 3008
58,3, 3008
58,4, 3008
58,5, 3008
58,6, 3008
58,7, 3008
58,8, 3008
58,9, 2880
59, 2880
59,1, 2880
59,2, 2880
59,3, 2880
59,4, 2880
59,5, 2880
59,6, 2880
59,7, 2880
59,8, 2880
59,9, 3072
60, 3072
60,1, 3072
60,2, 3072
60,3, 3072
60,4, 3072
60,5, 3072
60,6, 3072
60,7, 3072
60,8, 3072
60,9, 3008
61, 3008
61,1, 3008
61,2, 3008
61,3, 3008
61,4, 3008
61,5, 3008
61,6, 3008
61,7, 3008
61,8, 3008
61,9, 3072
62, 3072
62,1, 3072
62,2, 3072
62,3, 3072
62,4, 3072
62,5, 3072
62,6, 3072
62,7, 3072
62,8, 3072
62,9, 3072
63, 3072
63,1, 3072
63,2, 3072
63,3, 3072
63,4, 3072
63,5, 3072
63,6, 3072
63,7, 3072
63,8, 3072
63,9, 3264
64, 3264
64,1, 3264
64,2, 3264
64,3, 3264
64,4, 3264
64,5, 3264
64,6, 3264
64,7, 3264
64,8, 3264
64,9, 3200
65, 3200
65,1, 3200
65,2, 3200
65,3, 3200
65,4, 3200
65,5, 3200
65,6, 3200
65,7, 3200
65,8, 3200
65,9, 3072
66, 3072
66,1, 3072
66,2, 3072
66,3, 3072
66,4, 3072
66,5, 3072
66,6, 3072
66,7, 3072
66,8, 3072
66,9, 3264
67, 3264
67,1, 3264
67,2, 3264
67,3, 3264
67,4, 3264
67,5, 3264
67,6, 3264
67,7, 3264
67,8, 3264
67,9, 3136
68, 3136
68,1, 3136
68,2, 3136
68,3, 3136
68,4, 3136
68,5, 3136
68,6, 3136
68,7, 3136
68,8, 3136
68,9, 3008
69, 3008
69,1, 3008
69,2, 3008
69,3, 3008
69,4, 3008
69,5, 3008
69,6, 3008
69,7, 3008
69,8, 3008
69,9, 3264
70, 3264
70,1, 3264
70,2, 3264
70,3, 3264
70,4, 3264
70,5, 3264
70,6, 3264
70,7, 3264
70,8, 3264
70,9, 3008
71, 3008
71,1, 3008
71,2, 3008
71,3, 3008
71,4, 3008
71,5, 3008
71,6, 3008
71,7, 3008
71,8, 3008
71,9, 3072
72, 3072
72,1, 3072
72,2, 3072
72,3, 3072
72,4, 3072
72,5, 3072
72,6, 3072
72,7, 3072
72,8, 3072
72,9, 3328
73, 3328
73,1, 3328
73,2, 3328
73,3, 3328
73,4, 3328
73,5, 3328
73,6, 3328
73,7, 3328
73,8, 3328
73,9, 3008
74, 3008
74,1, 3008
74,2, 3008
74,3, 3008
74,4, 3008
74,5, 3008
74,6, 3008
74,7, 3008
74,8, 3008
74,9, 3072
75, 3072
75,1, 3072
75,2, 3072
75,3, 3072
75,4, 3072
75,5, 3072
75,6, 3072
75,7, 3072
75,8, 3072
75,9, 3264
76, 3264
76,1, 3264
76,2, 3264
76,3, 3264
76,4, 3264
76,5, 3264
76,6, 3264
76,7, 3264
76,8, 3264
76,9, 3264
77, 3264
77,1, 3264
77,2, 3264
77,3, 3264
77,4, 3264
77,5, 3264
77,6, 3264
77,7, 3264
77,8, 3264
77,9, 3136
78, 3136
78,1, 3136
78,2, 3136
78,3, 3136
78,4, 3136
78,5, 3136
78,6, 3136
78,7, 3136
78,8, 3136
78,9, 3264
79, 3264
79,1, 3264
79,2, 3264
79,3, 3264
79,4, 3264
79,5, 3264
79,6, 3264
79,7, 3264
79,8, 3264
79,9, 3392
80, 3392
80,1, 3392
80,2, 3392
80,3, 3392
80,4, 3392
80,5, 3392
80,6, 3392
80,7, 3392
80,8, 3392
80,9, 3392
81, 3392
81,1, 3392
81,2, 3392
81,3, 3392
81,4, 3392
81,5, 3392
81,6, 3392
81,7, 3392
81,8, 3392
81,9, 3392
82, 3392
82,1, 3392
82,2, 3392
82,3, 3392
82,4, 3392
82,5, 3392
82,6, 3392
82,7, 3392
82,8, 3392
82,9, 3392
83, 3392
83,1, 3392
83,2, 3392
83,3, 3392
83,4, 3392
83,5, 3392
83,6, 3392
83,7, 3392
83,8, 3392
83,9, 3392
84, 3392
84,1, 3392
84,2, 3392
84,3, 3392
84,4, 3392
84,5, 3392
84,6, 3392
84,7, 3392
84,8, 3392
84,9, 3520
85, 3520
85,1, 3520
85,2, 3520
85,3, 3520
85,4, 3520
85,5, 3520
85,6, 3520
85,7, 3520
85,8, 3520
85,9, 3328
86, 3328
86,1, 3328
86,2, 3328
86,3, 3328
86,4, 3328
86,5, 3328
86,6, 3328
86,7, 3328
86,8, 3328
86,9, 3392
87, 3392
87,1, 3392
87,2, 3392
87,3, 3392
87,4, 3392
87,5, 3392
87,6, 3392
87,7, 3392
87,8, 3392
87,9, 3648
88, 3648
88,1, 3648
88,2, 3648
88,3, 3648
88,4, 3648
88,5, 3648
88,6, 3648
88,7, 3648
88,8, 3648
88,9, 3200
89, 3200
89,1, 3200
89,2, 3200
89,3, 3200
89,4, 3200
89,5, 3200
89,6, 3200
89,7, 3200
89,8, 3200
89,9, 3520
90, 3520
90,1, 3520
90,2, 3520
90,3, 3520
90,4, 3520
90,5, 3520
90,6, 3520
90,7, 3520
90,8, 3520
90,9, 3392
91, 3392
91,1, 3392
91,2, 3392
91,3, 3392
91,4, 3392
91,5, 3392
91,6, 3392
91,7, 3392
91,8, 3392
91,9, 3584
92, 3584
92,1, 3584
92,2, 3584
92,3, 3584
92,4, 3584
92,5, 3584
92,6, 3584
92,7, 3584
92,8, 3584
92,9, 3648
93, 3648
93,1, 3648
93,2, 3648
93,3, 3648
93,4, 3648
93,5, 3648
93,6, 3648
93,7, 3648
93,8, 3648
93,9, 3904
94, 3904
94,1, 3904
94,2, 3904
94,3, 3904
94,4, 3904
94,5, 3904
94,6, 3904
94,7, 3904
94,8, 3904
94,9, 3584
95, 3584
95,1, 3584
95,2, 3584
95,3, 3584
95,4, 3584
95,5, 3584
95,6, 3584
95,7, 3584
95,8, 3584
95,9, 3904
96, 3904
96,1, 3904
96,2, 3904
96,3, 3904
96,4, 3904
96,5, 3904
96,6, 3904
96,7, 3904
96,8, 3904
96,9, 4096
97, 4096
97,1, 4096
97,2, 4096
97,3, 4096
97,4, 4096
97,5, 4096
97,6, 4096
97,7, 4096
97,8, 4096
97,9, 4096
98, 4096
98,1, 4096
98,2, 4096
98,3, 4096
98,4, 4096
98,5, 4096
98,6, 4096
98,7, 4096
98,8, 4096
98,9, 4160
99, 4160
99,1, 4160
99,2, 4160
99,3, 4160
99,4, 4160
99,5, 4160
99,6, 4160
99,7, 4160
99,8, 4160
99,9, 4032
100, 4032
100,1, 4032
100,2, 4032
100,3, 4032
100,4, 4032
100,5, 4032
100,6, 4032
100,7, 4032
100,8, 4032
100,9, 3904
101, 3904
101,1, 3904
101,2, 3904
101,3, 3904
101,4, 3904
101,5, 3904
101,6, 3904
101,7, 3904
101,8, 3904
101,9, 4544
102, 4544
102,1, 4544
102,2, 4544
102,3, 4544
102,4, 4544
102,5, 4544
102,6, 4544
102,7, 4544
102,8, 4544
102,9, 4160
103, 4160
103,1, 4160
103,2, 4160
103,3, 4160
103,4, 4160
103,5, 4160
103,6, 4160
103,7, 4160
103,8, 4160
103,9, 4288
104, 4288
104,1, 4288
104,2, 4288
104,3, 4288
104,4, 4288
104,5, 4288
104,6, 4288
104,7, 4288
104,8, 4288
104,9, 4736
105, 4736
105,1, 4736
105,2, 4736
105,3, 4736
105,4, 4736
105,5, 4736
105,6, 4736
105,7, 4736
105,8, 4736
105,9, 4608
106, 4608
106,1, 4608
106,2, 4608
106,3, 4608
106,4, 4608
106,5, 4608
