Pixels, Value
0, 2816
40,9, 3008
41, 3008
41,1, 3008
41,2, 3008
41,3, 3008
41,4, 3008
41,5, 3008
41,6, 3008
41,7, 3008
41,8, 3008
41,9, 2880
42, 2880
42,1, 2880
42,2, 2880
42,3, 2880
42,4, 2880
42,5, 2880
42,6, 2880
42,7, 2880
42,8, 2880
42,9, 3200
43, 3200
43,1, 3200
43,2, 3200
43,3, 3200
43,4, 3200
43,5, 3200
43,6, 3200
43,7, 3200
43,8, 3200
43,9, 3072
44, 3072
44,1, 3072
44,2, 3072
44,3, 3072
44,4, 3072
44,5, 3072
44,6, 3072
44,7, 3072
44,8, 3072
44,9, 2624
45, 2624
45,1, 2624
45,2, 2624
45,3, 2624
45,4, 2624
45,5, 2624
45,6, 2624
45,7, 2624
45,8, 2624
45,9, 3008
46, 3008
46,1, 3008
46,2, 3008
46,3, 3008
46,4, 3008
46,5, 3008
46,6, 3008
46,7, 3008
46,8, 3008
46,9, 2752
47, 2752
47,1, 2752
47,2, 2752
47,3, 2752
47,4, 2752
47,5, 2752
47,6, 2752
47,7, 2752
47,8, 2752
47,9, 2816
48, 2816
48,1, 2816
48,2, 2816
48,3, 2816
48,4, 2816
48,5, 2816
48,6, 2816
48,7, 2816
48,8, 2816
48,9, 2752
49, 2752
49,1, 2752
49,2, 2752
49,3, 2752
49,4, 2752
49,5, 2752
49,6, 2752
49,7, 2752
49,8, 2752
49,9, 2944
50, 2944
50,1, 2944
50,2, 2944
50,3, 2944
50,4, 2944
50,5, 2944
50,6, 2944
50,7, 2944
50,8, 2944
50,9, 3072
51, 3072
51,1, 3072
51,2, 3072
51,3, 3072
51,4, 3072
51,5, 3072
51,6, 3072
51,7, 3072
51,8, 3072
51,9, 2688
52, 2688
52,1, 2688
52,2, 2688
52,3, 2688
52,4, 2688
52,5, 2688
52,6, 2688
52,7, 2688
52,8, 2688
52,9, 2752
53, 2752
53,1, 2752
53,2, 2752
53,3, 2752
53,4, 2752
53,5, 2752
53,6, 2752
53,7, 2752
53,8, 2752
53,9, 2880
54, 2880
54,1, 2880
54,2, 2880
54,3, 2880
54,4, 2880
54,5, 2880
54,6, 2880
54,7, 2880
54,8, 2880
54,9, 3008
55, 3008
55,1, 3008
55,2, 3008
55,3, 3008
55,4, 3008
55,5, 3008
55,6, 3008
55,7, 3008
55,8, 3008
55,9, 2816
56, 2816
56,1, 2816
56,2, 2816
56,3, 2816
56,4, 2816
56,5, 2816
56,6, 2816
56,7, 2816
56,8, 2816
56,9, 3072
57, 3072
57,1, 3072
57,2, 3072
57,3, 3072
57,4, 3072
57,5, 3072
57,6, 3072
57,7, 3072
57,8, 3072
57,9, 3008
58, 3008
58,1, 3008
58,2, 3008
58,3, 3008
58,4, 3008
58,5, 3008
58,6, 3008
58,7, 3008
58,8, 3008
58,9, 3072
59, 3072
59,1, 3072
59,2, 3072
59,3, 3072
59,4, 3072
59,5, 3072
59,6, 3072
59,7, 3072
59,8, 3072
59,9, 3136
60, 3136
60,1, 3136
60,2, 3136
60,3, 3136
60,4, 3136
60,5, 3136
60,6, 3136
60,7, 3136
60,8, 3136
60,9, 2880
61, 2880
61,1, 2880
61,2, 2880
61,3, 2880
61,4, 2880
61,5, 2880
61,6, 2880
61,7, 2880
61,8, 2880
61,9, 2880
62, 2880
62,1, 2880
62,2, 2880
62,3, 2880
62,4, 2880
62,5, 2880
62,6, 2880
62,7, 2880
62,8, 2880
62,9, 2880
63, 2880
63,1, 2880
63,2, 2880
63,3, 2880
63,4, 2880
63,5, 2880
63,6, 2880
63,7, 2880
63,8, 2880
63,9, 2880
64, 2880
64,1, 2880
64,2, 2880
64,3, 2880
64,4, 2880
64,5, 2880
64,6, 2880
64,7, 2880
64,8, 2880
64,9, 3008
65, 3008
65,1, 3008
65,2, 3008
65,3, 3008
65,4, 3008
65,5, 3008
65,6, 3008
65,7, 3008
65,8, 3008
65,9, 3072
66, 3072
66,1, 3072
66,2, 3072
66,3, 3072
66,4, 3072
66,5, 3072
66,6, 3072
66,7, 3072
66,8, 3072
66,9, 2688
67, 2688
67,1, 2688
67,2, 2688
67,3, 2688
67,4, 2688
67,5, 2688
67,6, 2688
67,7, 2688
67,8, 2688
67,9, 3072
68, 3072
68,1, 3072
68,2, 3072
68,3, 3072
68,4, 3072
68,5, 3072
68,6, 3072
68,7, 3072
68,8, 3072
68,9, 3008
69, 3008
69,1, 3008
69,2, 3008
69,3, 3008
69,4, 3008
69,5, 3008
69,6, 3008
69,7, 3008
69,8, 3008
69,9, 2880
70, 2880
70,1, 2880
70,2, 2880
70,3, 2880
70,4, 2880
70,5, 2880
70,6, 2880
70,7, 2880
70,8, 2880
70,9, 2880
71, 2880
71,1, 2880
71,2, 2880
71,3, 2880
71,4, 2880
71,5, 2880
71,6, 2880
71,7, 2880
71,8, 2880
71,9, 2880
72, 2880
72,1, 2880
72,2, 2880
72,3, 2880
72,4, 2880
72,5, 2880
72,6, 2880
72,7, 2880
72,8, 2880
72,9, 3136
73, 3136
73,1, 3136
73,2, 3136
73,3, 3136
73,4, 3136
73,5, 3136
73,6, 3136
73,7, 3136
73,8, 3136
73,9, 2880
74, 2880
74,1, 2880
74,2, 2880
74,3, 2880
74,4, 2880
74,5, 2880
74,6, 2880
74,7, 2880
74,8, 2880
74,9, 3072
75, 3072
75,1, 3072
75,2, 3072
75,3, 3072
75,4, 3072
75,5, 3072
75,6, 3072
75,7, 3072
75,8, 3072
75,9, 2816
76, 2816
76,1, 2816
76,2, 2816
76,3, 2816
76,4, 2816
76,5, 2816
76,6, 2816
76,7, 2816
76,8, 2816
76,9, 3008
77, 3008
77,1, 3008
77,2, 3008
77,3, 3008
77,4, 3008
77,5, 3008
77,6, 3008
77,7, 3008
77,8, 3008
77,9, 3328
78, 3328
78,1, 3328
78,2, 3328
78,3, 3328
78,4, 3328
78,5, 3328
78,6, 3328
78,7, 3328
78,8, 3328
78,9, 3392
79, 3392
79,1, 3392
79,2, 3392
79,3, 3392
79,4, 3392
79,5, 3392
79,6, 3392
79,7, 3392
79,8, 3392
79,9, 3392
80, 3392
80,1, 3392
80,2, 3392
80,3, 3392
80,4, 3392
80,5, 3392
80,6, 3392
80,7, 3392
80,8, 3392
80,9, 3136
81, 3136
81,1, 3136
81,2, 3136
81,3, 3136
81,4, 3136
81,5, 3136
81,6, 3136
81,7, 3136
81,8, 3136
81,9, 3264
82, 3264
82,1, 3264
82,2, 3264
82,3, 3264
82,4, 3264
82,5, 3264
82,6, 3264
82,7, 3264
82,8, 3264
82,9, 3456
83, 3456
83,1, 3456
83,2, 3456
83,3, 3456
83,4, 3456
83,5, 3456
83,6, 3456
83,7, 3456
83,8, 3456
83,9, 3264
84, 3264
84,1, 3264
84,2, 3264
84,3, 3264
84,4, 3264
84,5, 3264
84,6, 3264
84,7, 3264
84,8, 3264
84,9, 3456
85, 3456
85,1, 3456
85,2, 3456
85,3, 3456
85,4, 3456
85,5, 3456
85,6, 3456
85,7, 3456
85,8, 3456
85,9, 3264
86, 3264
86,1, 3264
86,2, 3264
86,3, 3264
86,4, 3264
86,5, 3264
86,6, 3264
86,7, 3264
86,8, 3264
86,9, 3136
87, 3136
87,1, 3136
87,2, 3136
87,3, 3136
87,4, 3136
87,5, 3136
87,6, 3136
87,7, 3136
87,8, 3136
87,9, 3264
88, 3264
88,1, 3264
88,2, 3264
88,3, 3264
88,4, 3264
88,5, 3264
88,6, 3264
88,7, 3264
88,8, 3264
88,9, 3456
89, 3456
89,1, 3456
89,2, 3456
89,3, 3456
89,4, 3456
89,5, 3456
89,6, 3456
89,7, 3456
89,8, 3456
89,9, 3456
90, 3456
90,1, 3456
90,2, 3456
90,3, 3456
90,4, 3456
90,5, 3456
90,6, 3456
90,7, 3456
90,8, 3456
90,9, 3520
91, 3520
91,1, 3520
91,2, 3520
91,3, 3520
91,4, 3520
91,5, 3520
91,6, 3520
91,7, 3520
91,8, 3520
91,9, 3456
92, 3456
92,1, 3456
92,2, 3456
92,3, 3456
92,4, 3456
92,5, 3456
92,6, 3456
92,7, 3456
92,8, 3456
92,9, 3776
93, 3776
93,1, 3776
93,2, 3776
93,3, 3776
93,4, 3776
93,5, 3776
93,6, 3776
93,7, 3776
93,8, 3776
93,9, 3392
94, 3392
94,1, 3392
94,2, 3392
94,3, 3392
94,4, 3392
94,5, 3392
94,6, 3392
94,7, 3392
94,8, 3392
94,9, 3456
95, 3456
95,1, 3456
95,2, 3456
95,3, 3456
95,4, 3456
95,5, 3456
95,6, 3456
95,7, 3456
95,8, 3456
95,9, 3648
96, 3648
96,1, 3648
96,2, 3648
96,3, 3648
96,4, 3648
96,5, 3648
96,6, 3648
96,7, 3648
96,8, 3648
96,9, 3520
97, 3520
97,1, 3520
97,2, 3520
97,3, 3520
97,4, 3520
97,5, 3520
97,6, 3520
97,7, 3520
97,8, 3520
97,9, 3648
98, 3648
98,1, 3648
98,2, 3648
98,3, 3648
98,4, 3648
98,5, 3648
98,6, 3648
98,7, 3648
98,8, 3648
98,9, 3968
99, 3968
99,1, 3968
99,2, 3968
99,3, 3968
99,4, 3968
99,5, 3968
99,6, 3968
99,7, 3968
99,8, 3968
99,9, 3968
100, 3968
100,1, 3968
100,2, 3968
100,3, 3968
100,4, 3968
100,5, 3968
100,6, 3968
100,7, 3968
100,8, 3968
100,9, 4096
101, 4096
101,1, 4096
101,2, 4096
101,3, 4096
101,4, 4096
101,5, 4096
101,6, 4096
101,7, 4096
101,8, 4096
101,9, 4160
102, 4160
102,1, 4160
102,2, 4160
102,3, 4160
102,4, 4160
102,5, 4160
102,6, 4160
102,7, 4160
102,8, 4160
102,9, 3968
103, 3968
103,1, 3968
103,2, 3968
103,3, 3968
103,4, 3968
103,5, 3968
103,6, 3968
103,7, 3968
103,8, 3968
103,9, 4288
104, 4288
104,1, 4288
104,2, 4288
104,3, 4288
104,4, 4288
104,5, 4288
104,6, 4288
104,7, 4288
104,8, 4288
104,9, 4480
105, 4480
105,1, 4480
105,2, 4480
105,3, 4480
105,4, 4480
105,5, 4480
105,6, 4480
105,7, 4480
105,8, 4480
105,9, 4544
106, 4544
106,1, 4544
106,2, 4544
106,3, 4544
106,4, 4544
106,5, 4544
